scenarios,intervals,units_reserve
2,12,Battery
2,13,Coal1
2,13,Coal2
2,13,Combined Cycle GT1
2,13,Combined Cycle GT2
2,13,Open Cycle GT
2,13,Battery
2,14,Coal1
2,14,Coal2
2,14,Combined Cycle GT1
2,14,Combined Cycle GT2
2,14,Open Cycle GT
2,14,Battery
2,15,Coal1
2,15,Coal2
2,15,Combined Cycle GT1
2,15,Combined Cycle GT2
2,15,Open Cycle GT
2,15,Battery
2,16,Coal1
2,16,Coal2
2,16,Combined Cycle GT1
2,16,Combined Cycle GT2
2,16,Open Cycle GT
2,16,Battery
2,17,Coal1
2,17,Coal2
2,17,Combined Cycle GT1
2,17,Combined Cycle GT2
2,17,Open Cycle GT
2,17,Battery
2,18,Coal1
2,18,Coal2
2,18,Combined Cycle GT1
2,18,Combined Cycle GT2
2,18,Open Cycle GT
2,18,Battery
2,19,Coal1
2,19,Coal2
2,19,Combined Cycle GT1
2,19,Combined Cycle GT2
2,19,Open Cycle GT
2,19,Battery
2,20,Coal1
2,20,Coal2
2,20,Combined Cycle GT1
2,20,Combined Cycle GT2
2,20,Open Cycle GT
2,20,Battery
2,21,Coal1
2,21,Coal2
2,21,Combined Cycle GT1
2,21,Combined Cycle GT2
2,21,Open Cycle GT
2,21,Battery
2,22,Coal1
2,22,Coal2
2,22,Combined Cycle GT1
2,22,Combined Cycle GT2
2,22,Open Cycle GT
2,22,Battery
2,23,Coal1
2,23,Coal2
2,23,Combined Cycle GT1
2,23,Combined Cycle GT2
2,23,Open Cycle GT
2,23,Battery
2,24,Coal1
2,24,Coal2
2,24,Combined Cycle GT1
2,24,Combined Cycle GT2
2,24,Open Cycle GT
2,24,Battery
2,25,Coal1
2,25,Coal2
2,25,Combined Cycle GT1
2,25,Combined Cycle GT2
2,25,Open Cycle GT
2,25,Battery
2,26,Coal1
2,26,Coal2
2,26,Combined Cycle GT1
2,26,Combined Cycle GT2
2,26,Open Cycle GT
2,26,Battery
2,27,Coal1
2,27,Coal2
2,27,Combined Cycle GT1
2,27,Combined Cycle GT2
2,27,Open Cycle GT
2,27,Battery
2,28,Coal1
2,28,Coal2
2,28,Combined Cycle GT1
2,28,Combined Cycle GT2
2,28,Open Cycle GT
2,28,Battery
2,29,Coal1
2,29,Coal2
2,29,Combined Cycle GT1
2,29,Combined Cycle GT2
2,29,Open Cycle GT
2,29,Battery
2,30,Coal1
2,30,Coal2
2,30,Combined Cycle GT1
2,30,Combined Cycle GT2
2,30,Open Cycle GT
2,30,Battery
2,31,Coal1
2,31,Coal2
2,31,Combined Cycle GT1
2,31,Combined Cycle GT2
2,31,Open Cycle GT
2,31,Battery
2,32,Coal1
2,32,Coal2
2,32,Combined Cycle GT1
2,32,Combined Cycle GT2
2,32,Open Cycle GT
2,32,Battery
2,33,Coal1
2,33,Coal2
2,33,Combined Cycle GT1
2,33,Combined Cycle GT2
2,33,Open Cycle GT
2,33,Battery
2,34,Coal1
2,34,Coal2
2,34,Combined Cycle GT1
2,34,Combined Cycle GT2
2,34,Open Cycle GT
2,34,Battery
2,35,Coal1
2,35,Coal2
2,35,Combined Cycle GT1
2,35,Combined Cycle GT2
2,35,Open Cycle GT
2,35,Battery
2,36,Coal1
2,36,Coal2
2,36,Combined Cycle GT1
2,36,Combined Cycle GT2
2,36,Open Cycle GT
2,36,Battery
2,37,Coal1
2,37,Coal2
2,37,Combined Cycle GT1
2,37,Combined Cycle GT2
2,37,Open Cycle GT
2,37,Battery
2,38,Coal1
2,38,Coal2
2,38,Combined Cycle GT1
2,38,Combined Cycle GT2
2,38,Open Cycle GT
2,38,Battery
2,39,Coal1
2,39,Coal2
2,39,Combined Cycle GT1
2,39,Combined Cycle GT2
2,39,Open Cycle GT
2,39,Battery
2,40,Coal1
2,40,Coal2
2,40,Combined Cycle GT1
2,40,Combined Cycle GT2
2,40,Open Cycle GT
2,40,Battery
2,41,Coal1
2,41,Coal2
2,41,Combined Cycle GT1
2,41,Combined Cycle GT2
2,41,Open Cycle GT
2,41,Battery
2,42,Coal1
2,42,Coal2
2,42,Combined Cycle GT1
2,42,Combined Cycle GT2
2,42,Open Cycle GT
2,42,Battery
2,43,Coal1
2,43,Coal2
2,43,Combined Cycle GT1
2,43,Combined Cycle GT2
2,43,Open Cycle GT
2,43,Battery
2,44,Coal1
2,44,Coal2
2,44,Combined Cycle GT1
2,44,Combined Cycle GT2
2,44,Open Cycle GT
2,44,Battery
2,45,Coal1
2,45,Coal2
2,45,Combined Cycle GT1
2,45,Combined Cycle GT2
2,45,Open Cycle GT
2,45,Battery
2,46,Coal1
2,46,Coal2
2,46,Combined Cycle GT1
2,46,Combined Cycle GT2
2,46,Open Cycle GT
2,46,Battery
2,47,Coal1
2,47,Coal2
2,47,Combined Cycle GT1
2,47,Combined Cycle GT2
2,47,Open Cycle GT
2,47,Battery
